task,feature,train_missing,validation_missing,train_unique
attention_primary,eeg_rms_uv,0.0,0.0,13524
attention_primary,eeg_std_uv,0.0,0.0,13521
attention_primary,eeg_peak_to_peak_uv,0.0,0.0,13337
attention_primary,eeg_delta_relative,0.0,0.0,13523
attention_primary,eeg_theta_relative,0.0,0.0,13522
attention_primary,eeg_alpha_relative,0.0,0.0,13523
attention_primary,eeg_beta_relative,0.0,0.0,13524
attention_primary,eeg_gamma_relative,0.0,0.0,13524
attention_primary,eeg_line_noise_ratio,0.0,0.0,13524
attention_primary,gsr_mean_z,0.029577048210588583,0.0,12637
attention_primary,gsr_std_z,0.029577048210588583,0.0,12575
attention_primary,gsr_min_z,0.029577048210588583,0.0,11450
attention_primary,gsr_max_z,0.029577048210588583,0.0,11441
attention_primary,gsr_tonic_mean_z,0.029577048210588583,0.0,13123
attention_primary,gsr_phasic_mean_z,0.029577048210588583,0.0,13124
attention_primary,gsr_slope_z_s,0.029577048210588583,0.0,13124
attention_primary,gsr_scr_count,0.0,0.0,2
attention_primary,gsr_scr_mean_prominence_z,0.0,0.0,383
arousal_primary_6s,eeg_rms_uv,0.0,0.0,13524
arousal_primary_6s,eeg_std_uv,0.0,0.0,13521
arousal_primary_6s,eeg_peak_to_peak_uv,0.0,0.0,13337
arousal_primary_6s,eeg_delta_relative,0.0,0.0,13523
arousal_primary_6s,eeg_theta_relative,0.0,0.0,13522
arousal_primary_6s,eeg_alpha_relative,0.0,0.0,13523
arousal_primary_6s,eeg_beta_relative,0.0,0.0,13524
arousal_primary_6s,eeg_gamma_relative,0.0,0.0,13524
arousal_primary_6s,eeg_line_noise_ratio,0.0,0.0,13524
arousal_primary_6s,gaze_dispersion_x_px,0.000813368825791186,0.0,13507
arousal_primary_6s,gaze_dispersion_y_px,0.000813368825791186,0.0,13507
arousal_primary_6s,gaze_dispersion_2d_px,0.000813368825791186,0.0,13508
arousal_primary_6s,gaze_path_length_px,0.0011830819284235432,0.0,13505
arousal_primary_6s,fixation_count,0.0,0.0,14
arousal_primary_6s,fixation_total_ms,0.0,0.0,923
arousal_primary_6s,fixation_mean_ms,0.001922508133688258,0.001716001716001716,2981
arousal_primary_6s,fixation_median_ms,0.001922508133688258,0.001716001716001716,352
arousal_primary_6s,saccade_count,0.0,0.0,25
arousal_primary_6s,saccade_mean_ms,0.006506950606329488,0.002574002574002574,917
arousal_primary_6s,pupil_both_valid_fraction,0.0,0.0,1994
arousal_primary_6s,pupil_mean_z,0.0007394262052647146,0.0,13509
arousal_primary_6s,pupil_std_z,0.0007394262052647146,0.0,13511
arousal_primary_6s,pupil_min_z,0.0007394262052647146,0.0,9191
arousal_primary_6s,pupil_max_z,0.0007394262052647146,0.0,9413
arousal_primary_6s,pupil_slope_z_s,0.0007394262052647146,0.0,13512
